Title,Repository,URL,Created Date,Labels,State,Comments Count
DescriptionList - lists should have unique aria-labels,patternfly/patternfly,https://github.com/patternfly/patternfly/issues/7277,2025-01-08,"Good first issue, A11y, PF Team",open,1
DataList - invalid/incorrect aria attributes in examples,patternfly/patternfly,https://github.com/patternfly/patternfly/issues/7274,2025-01-08,"Good first issue, A11y, PF Team",open,1
Codeblock - aria-label of copy button should be unique,patternfly/patternfly,https://github.com/patternfly/patternfly/issues/7272,2025-01-08,"Good first issue, A11y, PF Team",open,1
Bug - Multiple components - content cannot be focused via keyboard,patternfly/patternfly,https://github.com/patternfly/patternfly/issues/7270,2025-01-08,"Good first issue, A11y, PF Team",open,1
Audit usage of header elements in Learner Dashboard,openedx/frontend-app-learner-dashboard,https://github.com/openedx/frontend-app-learner-dashboard/issues/531,2024-12-13,"good first issue, a11y",open,2
Screenreader-Output Input-/Textarea-Counter optimieren,public-ui/kolibri,https://github.com/public-ui/kolibri/issues/7162,2024-12-06,"good first issue, v2, v3, a11y, need:test",open,5
"🐞 Bug: breadcrumb > active page is missing attribute aria-current=""page""",public-ui/kolibri,https://github.com/public-ui/kolibri/issues/7159,2024-12-06,"good first issue, v2, v3, Breadcrumb, sample, a11y, need:test",open,5
"""Images must have alt text"" on element template icon",camunda/camunda-modeler,https://github.com/camunda/camunda-modeler/issues/4720,2024-11-22,"bug, ready, good first issue, a11y, spring cleaning",open,0
Learner Dashboard has a broken skip link,openedx/frontend-app-learner-dashboard,https://github.com/openedx/frontend-app-learner-dashboard/issues/510,2024-11-21,"bug, good first issue, help wanted, a11y",open,5
Disable password manager autocomplete on suggest edits,datenanfragen/website,https://github.com/datenanfragen/website/issues/1167,2024-11-06,"help wanted, good first issue, security, optimization, a11y",open,0
Markup has two header landmark elements,civiform/civiform,https://github.com/civiform/civiform/issues/8672,2024-09-19,"bug, good first issue, a11y, triaged",open,0
Buchungskalender für farbenblinde Menschen schlecht lesbar ,wielebenwir/commonsbooking,https://github.com/wielebenwir/commonsbooking/issues/1622,2024-08-11,"enhancement, good first issue, a11y",open,0
Accessibility violation on the problems panel,camunda/camunda-modeler,https://github.com/camunda/camunda-modeler/issues/4446,2024-08-05,"bug, backlog, good first issue, a11y",open,1
Open in new window / tab icon on link doesn't turn purple when visited in Safari,mi6/ic-ui-kit,https://github.com/mi6/ic-ui-kit/issues/2197,2024-07-19,"good first issue, a11y, link component, safari",open,2
Inconsistent number formatting for big numbers. ,therungg/therun-frontend,https://github.com/therungg/therun-frontend/issues/257,2024-06-17,"enhancement, help wanted, good first issue, a11y",open,2
Consistent and semantic route headers,HC-IPPM/safe-inputs,https://github.com/HC-IPPM/safe-inputs/issues/160,2024-06-06,"good first issue, frontend (/ui), a11y",open,0
Add Keyboard-Only Controls for Card Selection and Game Actions,Cockatrice/Cockatrice,https://github.com/Cockatrice/Cockatrice/issues/5043,2024-06-05,"App - Cockatrice, Good first issue, Hacktoberfest, Help Wanted, Medium Priority, a11y",open,2
Update all mentions of WCAG 2.1 to 2.2,mi6/ic-design-system,https://github.com/mi6/ic-design-system/issues/903,2024-04-10,"good first issue, a11y",open,0
Page - update examples to provide aria-label/labelledby to page sections,patternfly/patternfly,https://github.com/patternfly/patternfly/issues/6431,2024-03-18,"Good first issue, A11y",open,1
